stim
"Crackling campfires cast  shadows across cluttered campsites. Sleds slipped down the hill, startling skiers. "
"The brisk wind brushed through the shrubs, shaking loose several thin branches near the shed."
"Olivia carefully shifted the shining glass vases, afraid she might shatter one with a sudden twitch."
The mechanic struggled to loosen the stubborn screw while the rain hammered against the metal roof.
Bright reflections shimmered across the surface of the shallow stream as sunlight flickered through the leaves.
"Shelby hesitated before sharing her short story, scanning the classroom for sympathetic faces and soft smiles."
The sharp whistle startled the runners who were stretching by the slippery sidewalk after practice.
"Marcus dropped his headphones with a sigh, realizing the connection crackled each time he shifted the cable."
The thick rope slipped across the railing when Rachel tried to tighten the sail during the storm.
Heavy shadows stretched slowly along the hallway as the heater clicked to life in the corner.
"The teacher raised her voice slightly, repeating the question that several students had misunderstood again."
"Laura reached for the shelf of shining jars, brushing dust from the lightly chipping paint."
Thomas shivered as cold water splashed over his shoes while he chased the rolling soccer ball.
The rumble of the approaching train made the thin glass tremble inside the small station window.
"Sarah’s laughter echoed down the stairwell, carrying faintly through the hallway to the kitchen below."
"Drew shifted the heavy backpack higher, trying not to drop the smooth folder balanced on top."
"The shifting shoreline glimmered under the fading sunset, reflecting faint traces of orange and lilac light."
"Rachel rubbed her numb fingers together, struggling to fasten the slippery buttons on her thick jacket."
The startled shopkeeper dropped a handful of shiny coins that scattered sharply across the tile floor.
"Caleb inhaled deeply before the speech, hearing the shuffle of chairs and the distant hum of lights."
"The humid air inside the greenhouse fogged the glass as Hannah adjusted the thin, drooping stems."
