trialnum	block_id	stim	stim_idx	delay	catch_trial	start_time	visual_onset_time	visual_off_time	lag_mean	block
1	1	Heavy traffic thinned slowly as headlights shimmered on the slick city streets.	2	0	0	NaN	NaN	NaN	NaN	1
2	1	Three travelers trudged through thick fog, tracing the faint trail toward the village.	4	100	0	NaN	NaN	NaN	NaN	1
3	1	Three travelers trudged through thick fog, tracing the faint trail toward the village.	4	0	0	NaN	NaN	NaN	NaN	1
4	1	Crickets chirped sporadically in the damp grass after the sudden rainfall.	17	100	0	NaN	NaN	NaN	NaN	1
5	1	The photographer crouched carefully, adjusting her focus on the flickering candle flame.	18	100	0	NaN	NaN	NaN	NaN	1
6	1	Bright leaves fluttered briefly before falling into the shallow stream below.	7	0	0	NaN	NaN	NaN	NaN	1
7	1	The librarian whispered instructions while shelving books along the quiet corridor.	16	0	0	NaN	NaN	NaN	NaN	1
8	1	The professor paused mid-lecture, scanning the room for a raised hand.	10	100	0	NaN	NaN	NaN	NaN	1
9	1	A careless driver splashed muddy water across the line of waiting pedestrians.	11	0	0	NaN	NaN	NaN	NaN	1
10	1	Wind swept through the hallway, rattling loose papers across the polished floor.	13	0	0	NaN	NaN	NaN	NaN	1
11	1	The tired runner stretched her legs and stared across the silent field.	8	100	0	NaN	NaN	NaN	NaN	1
12	1	The teacher tapped the table twice before telling the students to settle down.	1	0	0	NaN	NaN	NaN	NaN	1
13	1	The mechanic struggled to loosen the stubborn bolt beneath the frozen metal frame.	5	100	0	NaN	NaN	NaN	NaN	1
